2010-06-04 21:07:08 Debug: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\cake\libs\debugger.php, line 684]
2010-06-04 21:07:08 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\cake\libs\debugger.php, line 688]
2010-06-04 21:07:39 Debug: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\cake\libs\debugger.php, line 688]
2010-06-04 21:16:13 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2131 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:13 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:13 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:14 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2131 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:14 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:14 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:19 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2131 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:19 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:19 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:28 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 2131 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:28 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 28 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:16:28 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 105 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:23:46 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 5 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:24:21 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 5 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:25:56 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 5 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
2010-06-04 21:26:42 Debug: Notice (8): unserialize() [<a href='http://php.net/function.unserialize'>function.unserialize</a>]: Error at offset 0 of 5 bytes in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\cache\file.php, line 176]
