2010-06-04 21:17:22 Warning: Warning (2): include_once(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\config\database.php) [<a href='http://php.net/function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\model\connection_manager.php, line 23]
2010-06-04 21:17:22 Warning: Warning (2): include_once() [<a href='http://php.net/function.include'>function.include</a>]: Failed opening 'C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\config\database.php' for inclusion (include_path='C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src;C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\;.;C:\Users\Florian\Eigene Programme\xampp\xampp\php\PEAR') in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\model\connection_manager.php, line 23]
2010-06-04 21:17:22 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source default in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\model\connection_manager.php, line 102]
2010-06-04 21:17:45 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Can't connect to MySQL server on 'localhost' (10061) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\model\datasources\dbo\dbo_mysql.php, line 540]
2010-06-04 21:17:45 Warning: Warning (2): mysql_select_db() expects parameter 2 to be resource, boolean given in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\model\datasources\dbo\dbo_mysql.php, line 546]
2010-06-04 21:17:45 Warning: Warning (2): mysql_get_server_info() expects parameter 1 to be resource, boolean given in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\model\datasources\dbo\dbo_mysql.php, line 554]
2010-06-04 21:17:45 Warning: Warning (2): mysql_query() expects parameter 2 to be resource, boolean given in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\model\datasources\dbo\dbo_mysql.php, line 588]
2010-06-04 21:17:45 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 21:32:58 Warning: Warning (2): print_r() expects at least 1 parameter, 0 given in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 20]
2010-06-04 21:42:37 Warning: Warning (2): Missing argument 1 for GalleriesController::index() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 16]
2010-06-04 21:46:20 Warning: Warning (2): opendir(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\asd\*.*) [<a href='http://php.net/function.opendir'>function.opendir</a>]: failed to open dir: No error in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 17]
2010-06-04 21:46:32 Warning: Warning (2): opendir(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\asd\) [<a href='http://php.net/function.opendir'>function.opendir</a>]: failed to open dir: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 17]
2010-06-04 21:46:38 Warning: Warning (2): opendir(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\asd) [<a href='http://php.net/function.opendir'>function.opendir</a>]: failed to open dir: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 17]
2010-06-04 22:45:24 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:45:40 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:45:56 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:46:52 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:46:52 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:46:53 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:46:53 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:46:54 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:46:58 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:47:31 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:47:32 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:47:33 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:47:34 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 19]
2010-06-04 22:47:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:20) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 22:47:51 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:20) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 22:48:43 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 18]
2010-06-04 22:48:44 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 18]
2010-06-04 22:48:44 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 18]
2010-06-04 22:49:16 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 18]
2010-06-04 22:49:26 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 18]
2010-06-04 22:49:27 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 18]
2010-06-04 22:49:28 Warning: Warning (2): Missing argument 1 for GalleriesController::show() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 18]
2010-06-04 22:49:36 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 22:49:38 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 22:51:10 Warning: Warning (2): array_merge() [<a href='http://php.net/function.array-merge'>function.array-merge</a>]: Argument #3 is not an array in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 705]
2010-06-04 22:51:29 Warning: Warning (2): array_merge() [<a href='http://php.net/function.array-merge'>function.array-merge</a>]: Argument #3 is not an array in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helpers\form.php, line 705]
2010-06-04 22:54:13 Warning: Warning (2): Missing argument 1 for GalleriesController::login() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 13]
2010-06-04 22:56:23 Warning: Warning (2): Missing argument 1 for GalleriesController::login() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 13]
2010-06-04 22:56:46 Warning: Warning (2): Missing argument 1 for GalleriesController::login() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 13]
2010-06-04 23:01:47 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php:14) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:05:19 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:05:22 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:05:40 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php:10) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:06:02 Warning: Warning (2): Missing argument 1 for GalleriesController::beforeFilter(), called in C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php on line 526 and defined in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 9]
2010-06-04 23:06:02 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:06:24 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php:12) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:06:38 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php:12) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:06:48 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php:12) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:10:34 Warning: Warning (2): Missing argument 1 for GalleriesController::logout() in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\controllers\galleries_controller.php, line 22]
2010-06-04 23:10:34 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-04 23:18:10 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\basics.php:655) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 00:58:43 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\hochzeit_x\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 71]
2010-06-05 00:58:43 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 00:59:20 Warning: Warning (2): file_put_contents() [<a href='http://php.net/function.file-put-contents'>function.file-put-contents</a>]: Filename cannot be empty in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 73]
2010-06-05 00:59:20 Warning: Warning (2): file(C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\data\hochzeit_x\selected.txt) [<a href='http://php.net/function.file'>function.file</a>]: failed to open stream: No such file or directory in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php, line 75]
2010-06-05 00:59:20 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\debugger.php:673) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:00:26 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:75) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:00:47 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:75) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:02:44 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:81) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:03:25 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\app\models\gallery.php:83) in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\controller\controller.php, line 746]
2010-06-05 01:05:29 Warning: Warning (512): Method HtmlHelper::js does not exist in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helper.php, line 154]
2010-06-05 01:05:51 Warning: Warning (512): Method HtmlHelper::javascript does not exist in [C:\Users\Florian\Eigene Programme\xampp\xampp\htdocs\markab\src\cake\libs\view\helper.php, line 154]
